City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
237,Mogadishu,SO,2022-07-29 01:22:25,2.0371,45.3438,75.74,84,98,16.02,light rain
238,Beringovskiy,RU,2022-07-29 01:22:25,63.05,179.3167,49.03,77,100,12.75,overcast clouds
239,Fort Saint James,CA,2022-07-29 01:22:26,54.4333,-124.25,89.78,21,0,6.44,clear sky
240,Laguna,US,2022-07-29 01:17:45,38.421,-121.4238,101.32,40,0,12.66,clear sky
241,North Platte,US,2022-07-29 01:22:26,41.1239,-100.7654,76.12,62,75,5.99,broken clouds
242,Narok,KE,2022-07-29 01:22:27,-1.0783,35.8601,55.58,89,100,4.61,overcast clouds
243,Ankang,CN,2022-07-29 01:22:27,32.68,109.0172,80.13,63,0,2.57,clear sky
244,Kankaanpaa,FI,2022-07-29 01:22:28,61.8,22.4167,50.76,96,35,4.79,scattered clouds
245,Broome,US,2022-07-29 01:22:28,42.2506,-75.833,73.71,82,0,5.75,clear sky
246,Mount Gambier,AU,2022-07-29 01:22:29,-37.8333,140.7667,50.65,67,31,3.33,scattered clouds
247,Basoko,CD,2022-07-29 01:22:29,1.2391,23.616,70.18,96,100,3.83,overcast clouds
248,Cidreira,BR,2022-07-29 01:22:30,-30.1811,-50.2056,55.18,90,100,19.89,heavy intensity rain
249,Koumac,NC,2022-07-29 01:22:30,-20.5667,164.2833,72.75,70,61,5.79,broken clouds
250,Kununurra,AU,2022-07-29 01:22:31,-15.7667,128.7333,78.78,22,5,16.11,clear sky
251,Hualmay,PE,2022-07-29 01:22:31,-11.0964,-77.6139,61.18,81,37,10.51,scattered clouds
252,Katobu,ID,2022-07-29 01:22:32,-4.9408,122.5276,81.75,63,88,10.49,overcast clouds
253,San Quintin,MX,2022-07-29 01:22:32,30.4833,-115.95,70.93,74,12,10.83,few clouds
254,Gweta,BW,2022-07-29 01:22:33,-20.1833,25.2333,56.25,35,0,13.06,clear sky
255,Brookhaven,US,2022-07-29 01:22:34,31.5791,-90.4407,77.25,64,98,4.45,overcast clouds
256,Vardo,NO,2022-07-29 01:22:34,70.3705,31.1107,48.18,87,100,9.22,overcast clouds
